dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,date
2020-01-01,1,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-01
2020-01-02,2,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-02
2020-01-03,3,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-03
2020-01-04,4,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-04
2020-01-05,5,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-05
2020-01-06,6,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-06
2020-01-07,7,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-07
2020-01-08,8,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-08
2020-01-09,9,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-09
2020-01-10,10,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-10
2020-01-11,11,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-11
2020-01-12,12,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-12
2020-01-13,13,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-13
2020-01-14,14,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-14
2020-01-15,15,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-15
2020-01-16,16,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-16
2020-01-17,17,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-17
2020-01-18,18,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-18
2020-01-19,19,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-19
2020-01-20,20,1,2020,3.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-20
2020-01-21,21,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-21
2020-01-22,22,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-22
2020-01-23,23,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-23
2020-01-24,24,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-24
2020-01-25,25,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-25
2020-01-26,26,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-26
2020-01-27,27,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-27
2020-01-28,28,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-28
2020-01-29,29,1,2020,4.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-29
2020-01-30,30,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-30
2020-01-31,31,1,2020,3.0,0.0,Spain,ES,ESP,47332614,Europe,2020-01-31
2020-02-01,1,2,2020,16.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-01
2020-02-02,2,2,2020,10.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-02
2020-02-03,3,2,2020,11.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-03
2020-02-04,4,2,2020,9.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-04
2020-02-05,5,2,2020,6.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-05
2020-02-06,6,2,2020,9.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-06
2020-02-07,7,2,2020,15.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-07
2020-02-08,8,2,2020,9.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-08
2020-02-09,9,2,2020,3.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-09
2020-02-10,10,2,2020,21.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-10
2020-02-11,11,2,2020,13.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-11
2020-02-12,12,2,2020,23.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-12
2020-02-13,13,2,2020,24.0,1.0,Spain,ES,ESP,47332614,Europe,2020-02-13
2020-02-14,14,2,2020,18.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-14
2020-02-15,15,2,2020,35.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-15
2020-02-16,16,2,2020,21.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-16
2020-02-17,17,2,2020,27.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-17
2020-02-18,18,2,2020,27.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-18
2020-02-19,19,2,2020,18.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-19
2020-02-20,20,2,2020,53.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-20
2020-02-21,21,2,2020,59.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-21
2020-02-22,22,2,2020,58.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-22
2020-02-23,23,2,2020,73.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-23
2020-02-24,24,2,2020,106.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-24
2020-02-24,24,2,2020,229.0,7.0,Italy,IT,ITA,59641488,Europe,2020-02-24
2020-02-25,25,2,2020,128.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-25
2020-02-25,25,2,2020,93.0,3.0,Italy,IT,ITA,59641488,Europe,2020-02-25
2020-02-26,26,2,2020,146.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-26
2020-02-26,26,2,2020,78.0,2.0,Italy,IT,ITA,59641488,Europe,2020-02-26
2020-02-27,27,2,2020,250.0,5.0,Italy,IT,ITA,59641488,Europe,2020-02-27
2020-02-27,27,2,2020,179.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-27
2020-02-28,28,2,2020,317.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-28
2020-02-28,28,2,2020,238.0,4.0,Italy,IT,ITA,59641488,Europe,2020-02-28
2020-02-29,29,2,2020,247.0,0.0,Spain,ES,ESP,47332614,Europe,2020-02-29
2020-02-29,29,2,2020,240.0,8.0,Italy,IT,ITA,59641488,Europe,2020-02-29
2020-03-01,1,3,2020,685.0,0.0,Spain,ES,ESP,47332614,Europe,2020-03-01
2020-03-01,1,3,2020,566.0,5.0,Italy,IT,ITA,59641488,Europe,2020-03-01
2020-03-02,2,3,2020,802.0,0.0,Spain,ES,ESP,47332614,Europe,2020-03-02
2020-03-02,2,3,2020,342.0,18.0,Italy,IT,ITA,59641488,Europe,2020-03-02
2020-03-03,3,3,2020,800.0,1.0,Spain,ES,ESP,47332614,Europe,2020-03-03
2020-03-03,3,3,2020,466.0,27.0,Italy,IT,ITA,59641488,Europe,2020-03-03
2020-03-04,4,3,2020,587.0,28.0,Italy,IT,ITA,59641488,Europe,2020-03-04
2020-03-04,4,3,2020,949.0,2.0,Spain,ES,ESP,47332614,Europe,2020-03-04
2020-03-05,5,3,2020,769.0,41.0,Italy,IT,ITA,59641488,Europe,2020-03-05
2020-03-05,5,3,2020,1279.0,1.0,Spain,ES,ESP,47332614,Europe,2020-03-05
2020-03-06,6,3,2020,778.0,49.0,Italy,IT,ITA,59641488,Europe,2020-03-06
2020-03-06,6,3,2020,1611.0,3.0,Spain,ES,ESP,47332614,Europe,2020-03-06
2020-03-07,7,3,2020,1857.0,3.0,Spain,ES,ESP,47332614,Europe,2020-03-07
2020-03-07,7,3,2020,1247.0,36.0,Italy,IT,ITA,59641488,Europe,2020-03-07
2020-03-08,8,3,2020,2185.0,14.0,Spain,ES,ESP,47332614,Europe,2020-03-08
2020-03-08,8,3,2020,1492.0,133.0,Italy,IT,ITA,59641488,Europe,2020-03-08
2020-03-09,9,3,2020,1797.0,97.0,Italy,IT,ITA,59641488,Europe,2020-03-09
2020-03-09,9,3,2020,3384.0,17.0,Spain,ES,ESP,47332614,Europe,2020-03-09
2020-03-10,10,3,2020,4637.0,28.0,Spain,ES,ESP,47332614,Europe,2020-03-10
2020-03-10,10,3,2020,977.0,168.0,Italy,IT,ITA,59641488,Europe,2020-03-10
