id,study_id,title,abstract,doi
3,Arora et al. (2025),Peroneus Longus to Peroneus Brevis Tenodesis Does Not Improve Ankle Functional Outcomes: A Prospective Cohort Study,"PURPOSE: Peroneus longus (PL) graft harvest has recently gained popularity for various ligament reconstruction surgeries. A recent systematic review shows it is a safe and reproducible technique with low morbidity of donor sites (1). The method for PL harvest routinely involves tenodesis of the PL stump to the peroneus brevis (PB). To the authors' best knowledge, no study exists in the literature that has compared the outcomes of tenodesis versus no tenodesis on post-operative ankle functional outcome scores. The purpose of the present study is to assess the importance of tenodesis on post-operative ankle scores. METHODS: A total of 200 consecutive patients from July 2022 to November 2022 were included in the study: 72 in the no tenodesis group and 128 in the tenodesis group. Institutional ethics approval was obtained from the institutional ethics review committee before the initiation of the study. Demographic variables (age, gender and level of play) were recorded. Pre-operative American Orthopaedic Foot and Ankle Society Score (AOFAS) and Functional Ankle Disability Index (FADI) scores were calculated for both groups and compared with post-operative scores at six weeks, three months, six months and one-year follow-up. RESULTS: For the entire study population (n = 200), we found that AOFAS and FADI scores showed no significant difference at any interval except for lower scores at six weeks of follow-up for both groups compared to baseline. We found that the no tenodesis group had slightly better AOFAS and FADI scores at the six-week follow-up, which were statistically significant (p < 0.05). However, the magnitude of variance (0.13 and 0.20, respectively) was too small to be clinically significant. Age, gender and level of play had no impact on ankle functional outcomes. CONCLUSION: Tenodesis of the PL to the PB has been the standard norm in PL graft harvest for various ligament surgeries. The present high-powered prospective cohort study shows that tenodesis.does not improve ankle functional outcome scores compared to no tenodesis. Further work is needed to assess the impact of tenodesis or no tenodesis on ankle biomechanics (eversion, plantarflexion and gait). LEVEL OF EVIDENCE: IV.",10.1007/s43465-025-01361-1
4,Aryana et al. (2025),No Difference in Ankle Morbidity Between the Leg with Peroneus Longus Used for ACL Reconstruction Autograft and the Contralateral Side 12 Months Postoperatively,"BACKGROUND: Anterior cruciate ligament (ACL) injuries often require surgical intervention. The use of the peroneus longus tendon in ACL reconstruction has been reported to offer significant potential benefits, such as preserving the hamstring tendons. However, its effects on the ankle must be considered prior to surgery. METHODS: This was a cross-sectional study evaluating ankle morbidity using the American Orthopedic Foot and Ankle Society (AOFAS) score, plantarflexion and eversion strength, and Clarke's angle on both extremities. Data were collected from patients who underwent ACL reconstruction using the peroneus longus tendon as an autograft. Statistical analysis was performed using the Mann-Whitney test with SPSS v.26. RESULTS: A total of 64 patients were included, with the mean AOFAS scores of 58.88 (donor side) and 70.12 (contralateral side). Mann-Whitney test results showed no significant difference in AOFAS scores between the two sides (p=0.085). The mean plantarflexion strength values were 62.23 (donor) and 66.77 (contralateral), with no significant difference (p=0.489). Additionally, the mean Clarke's angle values were 59.10 (donor) and 69.90 (contralateral), with no significant difference (p=0.099). CONCLUSION: There was no statistically significant difference in ankle function in patients who used the peroneus longus tendon as an autograft in ACL reconstruction.",10.52965/001c.144731
6,Chen et al. (2025),Comparative efficacy of different lengths of anterior cruciate ligament stump during reconstruction with peroneus longus tendon,"BACKGROUND: Anterior cruciate ligament (ACL) injury affects individuals, and successful ACL helps patients return to an active lifestyle. This study compared the clinical effects of two treatment schemes of retention length ≥ 1/2 and < 1/2 of ACL stump in patients under reconstruction with peroneus longus tendon (PLT). METHODS: A total of 34 patients with ACL injury of knee joint treated by unilateral ACL reconstruction with PLT were recruited in this study. They were divided into N1 (retention length of ACL stump ≥ 1/2) and N2 (retention length of ACL stump < 1/2) groups (n = 17 in each group). The knee joint proprioceptive threshold of passive motor perception was used to evaluate recovery of proprioception. The international knee documentation committee (IKDC) score, Lysholm score, and Tegner activity score (TAS) were used to evaluate knee joint functions. Lachman test, anterior drawer test (ADT), and pivot shift test (PST) were used to evaluate the stability of knee joint. Single-legged hop test and return-to-sport ratio were used to evaluate the movement ability. RESULTS: In 6th month and 12th month after operation, the passive motor perception threshold in N1 group was better than than that in N2 group (p < 0.05). In 12th month after the operation, the return-to-sport ratio in N1 group was increased compared to the N2 group (p < 0.05). There were no significant differences in results of IKDC score, Lysholm score, TAS, Lachman test, ADT, or PST between the two groups in 6th month and 12th month after the operation (p > 0.05). In addition, no significant difference was found in the single-legged hop test between the two groups in the 12th month after operation (p > 0.05). CONCLUSION: During ACL reconstruction with PLT, treatment strategy of ACL stump retention length ≥ 1/2 is more effective than treatment strategy of length < 1/2 for patients with ACL injury of the knee joint.",10.1186/s12893-025-02913-w
13,Karapinar et al. (2025),An Evaluation of the Effect on Ankle Stability of the Peroneus Longus Tendon Graft Used in Anterior Cruciate Ligament Reconstruction,"BACKGROUND: Previous studies have focused on the effect of the peroneus longus tendon graft on the knee; in this study, we focused on its impact on the ankle. Injuries to the anterior cruciate ligament (ACL) are frequently observed in sports injuries. The peroneus longus tendon graft has rapidly gained a place in the literature; however, very few studies have been conducted on the foot-ankle region stability of this tendon. PURPOSE: To investigate the effect on this region of the peroneus longus tendon graft used in anterior cruciate ligament reconstruction (ACLR). STUDY DESIGN: Case series, Level of evidence 4. METHODS: The study included 20 out of 35 patients who met the inclusion criteria and had ACLR using a peroneus longus tendon graft at the same orthopaedics and traumatology clinic between January and December 2023.The demographic characteristics of the patients were recorded. Ankle strength measurements were performed, and all the patients were tested with the Y test, the flamingo test, the eyes closed balance test, and the standing on tiptoes test. The Foot and Ankle Disability Index and the American Orthopedic Foot and Ankle Score were recorded. RESULTS: The dynamometer measurements of the donor side and the contralateral side were compared. No statistically significant difference was determined between the 2 sides with respect to the ankle eversion and plantar flexion strength measurements (P = .096, P = .835, respectively). A significant result was obtained in the flamingo test (P = .049). No statistically significant difference was determined between the 2 sides with respect to the anterior, posterior, and lateral distances of the Y test (78.8 vs 78.6 cm, P = .973; 96.6 vs 80.4 cm, P = .053; 89.5 vs 95.0 cm, P = .357, respectively). In the examination of ankle functionality, no statistically significant difference was determined in the Foot and Ankle Disability Index and the American Orthopedic Foot and Ankle Score of the 2 sides (P = .798, P = .206, respectively). CONCLUSION: The peroneus longus tendon can be safely used as an alternative autograft in ACLR without causing donor site morbidity. There may be a deficit in balance test performance.",10.1177/23259671251371229
14,Khalil and Zawam (2025),Comparative study of Peroneus longus tendon autograft versus Hamstring tendon autograft in arthroscopic anterior cruciate ligament reconstruction,"PURPOSE: The purpose of this study is to compare the functional outcomes and donor site morbidities after anterior cruciate ligament reconstruction (ACLR) using peroneus longus (PL) tendon versus hamstring (HST) tendon autografts. METHODS: The PL tendon autograft was used for ACLR in 36 patients, and in another group, ACLR was performed using the HST tendon autograft in 35 patients between September 2022 and April 2023. The knee functional outcomes were evaluated using the International Knee Documentation Committee (IKDC) and the Lysholm scores at preoperative and at 18 months following ACLR. In addition, the autograft diameter was measured intraoperatively in both groups. Ankle joint donor site morbidities were estimated using the American Orthopedic Foot and Ankle Score (AOFAS) in the PL autograft group. RESULTS: A total of 71 patients, who underwent ACLR, were assessed with a minimum follow-up of 18 months (range 18-20 months). The diameter of the PL tendon autograft was significantly greater than that of the HST tendon autograft (P < 0.001). No significant differences were found in the functional outcomes between both groups at 18 months follow-up. Evaluation of the AOFAS showed no significant ankle joint dysfunction in the PL tendon autograft group. CONCLUSIONS: PL tendon autograft can be used as a safe and effective autograft choice for ACLR with excellent functional outcomes comparable to HST tendon autograft and minimal donor site morbidity. LEVEL OF EVIDENCE: Level II, Prospective randomized comparative study.",10.1007/s00264-025-06468-6
15,Kumar et al. (2025),Comparison of Surgical and Non-Surgical Treatment of Anterior Cruciate Ligament Injury in Middle-Aged Population: A Prospective Cohort Study,"Background The anterior cruciate ligament (ACL) is one of the most commonly injured ligaments of the human body. The main mechanism of injury is usually when a pivoting injury occurs in which the tibia is translated anteriorly. At the same time, the knee is in a slight valgus and flexed attitude, and is predominantly found in contact sports like soccer. The variable symptoms that warrant medical attention usually include pain, swelling, knee giving way, difficulty ambulating, and reduced knee range of motion. The treatment usually depends on the patient's symptomatology, type of injury, the growth remaining in his or her growth plates, and activity goals. The purpose of the study is to determine the superior treatment modality for ACL injury in patients older than 40 years. Methodology The study was a prospective study conducted in the orthopedic outpatient department of a tertiary care center in northern India. A total of 60 patients were included in the study sample. Patients were divided into two treatment groups: Group A (n=30), consisting of conservatively managed patients, and Group B (n=30), consisting of surgically managed patients. Various symptoms during presentation were also noted in the study, which showed pain and instability as the predominant symptoms on presentation. Treatment modalities for ACL injury in our study include conservative management by physiotherapy and surgical management with ACL reconstruction using a peroneus longus autograft. The physiotherapy protocol and post-surgery rehabilitation protocol were kept the same to compare the outcome in both groups. The Lysholm knee scoring scale was used to calculate the functional outcome of conservatively and surgically managed groups before intervention and post-intervention at the first, third, sixth, and twelfth months. The data was collected and summarized in Microsoft Excel (Microsoft Corp., Redmond, WA) and analyzed with IBM Corp. Released 2012. IBM SPSS Statistics for Windows, Version 21.0. Armonk, NY: IBM Corp., using the ANOVA test, chi-square test, and paired t-test. A p-value of < 0.05 indicated a statistically significant difference. Results The study was conducted with two groups (group A: conservative; group B: surgical group) with comparable demographic profiles and slight male predominance, comparing the functional outcome of surgically and conservatively managed middle-aged patients with ACL injuries. The Lysholm knee scoring scale showed a poor pre-intervention score in both groups. This subsequently improved over a period of one year of study for both groups. After 12 months, a Lysholm Knee Score of 75.80±5.95 (group A) and 96.13±2.65 (group B), with a p-value of < 0.001, was noted, which showed a significantly superior functional outcome of surgical intervention in ACL injury as compared to conservative treatment in the study population. Conclusions Sixty patients over 40 years of age were taken up for the study, with more than two-thirds of the study population being male. The study showed the pre-intervention Lysholm knee scoring scale for both groups to be ""poor."" The score remained ""poor"" even after the first month post-intervention. After 12 months, a Lysholm Knee Score with an ""excellent"" outcome was noted in the surgical group (group B), which depicted an overall superior functional outcome of surgical intervention in ACL injury as compared to conservative treatment in the study population.",10.7759/cureus.84489
17,Pontoh et al. (2025),Anterior Knee Pain Evaluation Following Anterior Cruciate Ligament (ACL) Reconstruction Using Anterior Half of The Peroneus Longus (AHPL) Autograft,"INTRODUCTION: The anterior cruciate ligament (ACL) is crucial for knee stability and joint movement coordination. ACL injuries are common, often leading to knee instability and subsequent complications. ACL reconstruction is a standard treatment option, with various autograft sources available. The anterior half of the peroneus longus (AHPL) tendon has emerged as a potential alternative autograft. This study aimes to examine the anterior knee pain in ACL reconstruction using AHPL. MATERIALS AND METHODS: This study included 51 patients with ACL injuries undergoing ACL reconstruction using the AHPL tendon autograft. Patient demographics, surgical details, and Kujala scores were collected. RESULTS: The average age of our participants was 25.88 ± 5.39 years, with mean BMI classified as obese. Significant improvements in Kujala and KOOS pain scores were observed between each data collection. There was a negative correlation between baseline and three and six months post-operatively Kujala and KOOS pain scores with BMI. DISCUSSION: The study findings suggest that ACL reconstruction using the AHPL tendon autograft significantly reduced anterior knee pain, as indicated by a better Kujala and KOOS pain score. Previous studies have highlighted concerns regarding anterior knee pain with other autograft sources, such as the patellar and hamstring tendons. The AHPL tendon autograft offers a promising alternative with favorable anterior knee pain and minimal donor site morbidity. CONCLUSION: In ACL reconstruction, the AHPL tendon autograft demonstrates excellent outcomes regarding anterior knee pain, as measured by the Kujala score.",10.2147/ORR.S495410
19,Singh et al. (2025),Evaluation of Ankle Complications after Peroneus Longus Tendon Harvesting for ACL Reconstruction,"BACKGROUND: Anterior cruciate ligament (ACL) injuries are common and debilitating, often requiring surgical reconstruction. The peroneus longus tendon (PLT) is a promising autograft for ACL reconstruction, with less donor site morbidity than traditional grafts like bone-patellar tendon-bone and hamstring tendons. This study evaluates donor site ankle morbidity after PLT harvesting for ACL reconstruction. MATERIALS AND METHODS: A retrospective observational study at an Indian Government Medical College and Hospital from February 2023 to October 2024 involved 56 patients with symptomatic ACL tears who underwent arthroscopic ACL reconstruction using PLT grafts. Donor site morbidity was assessed preoperatively and postoperatively using the visual analog scale for foot and ankle (VAS-FA) and American orthopaedic Foot and Ankle society (AOFAS) scores at 14 days, 4 weeks, 12 weeks, and 6 months. Data were analyzed with repeated measures analysis of variance. RESULTS: Participants had a mean age of 36.8 years and an average injury duration of 13.3 months. Donor site morbidity occurred in 66.1% of patients, mainly as mild pain and swelling, which improved significantly over time. VAS-FA scores dropped from 7.52 preoperatively to 2.05 at 6 months, and AOFAS scores increased from 54.8 to 80.0. Chronic injury duration (over 16 months) was associated with poorer recovery, while preoperative pain, gender, graft size, and weight-bearing duration had no significant impact on recovery outcomes. CONCLUSION: PLT harvesting for ACL reconstruction leads to minimal donor site morbidity, with mild pain and swelling that improve over time. PLT grafts offer a promising alternative to traditional autografts, providing comparable outcomes and fewer complications. Larger studies with longer follow-up are needed to confirm these results.",10.13107/jocr.2025.v15.i06.5718
22,Velioğlu et al. (2025),Harvesting the Full Thickness Peroneus Longus Tendon Is Not Associated With Structural Foot Impairments: A 12- to 23-Year Follow-up Study,"BACKGROUND: The peroneus longus tendon (PLT) autograft is suggested as a promising alternative graft option for reconstructive procedures supported by a growing body of evidence indicating favorable results. However, concerns remain regarding long-term functional impairments of the foot and ankle after harvesting a full-thickness PLT. PURPOSE: To evaluate long-term donor site morbidity in patients who underwent anterior cruciate ligament reconstruction using a PLT autograft. STUDY DESIGN: Case series; Level of evidence, 4. METHODS: A retrospective review was performed to identify patients with harvested PLT autografts, and all eligible patients were invited to participate in a clinical examination at the hospital. To evaluate their range of motion, all included patients underwent a physical examination. Clinical outcomes were measured using the American Orthopaedic Foot and Ankle Society (AOFAS) score and the Activities of Daily Living and Sports subscales of the Foot and Ankle Ability Measure (FAAM-ADL and FAAM-S). To evaluate foot and ankle structural changes, the intermetatarsal angle (IMA), hallux valgus angle (HVA), arc height index (AHI), lateral talo-first metatarsal angle (LTFMA), calcaneal pitch angle (CPA), and metatarsal angle (MA) were measured in the PLT harvested side and the contralateral side. RESULTS: A total of 26 patients who were available for the final follow-up were included in this study. The mean age of the patients at the final follow-up was 45.7 ± 9.5 years. The mean follow-up time was 19.5 ± 3.4 years. AOFAS scores were excellent in 92.3% of patients (n = 24) and good in 7.7% (n = 2). The mean FAAM-ADL score was 99.6 ± 1.86. The mean FAAM-S score was 98.1 ± 5.94. No statistically significant differences were observed between the PLT harvested side and the contralateral side for any of the measured parameters-including the IMA, HVA, AHI, LTFMA, CPA, and MA. CONCLUSION: This study demonstrated good to excellent long-term patient-reported outcomes and negligible radiographic changes after harvesting the full thickness PLT compared with the contralateral side. These long-term data strongly support PLT harvesting as an alternative graft choice and suggest that this method does not alter the natural history of foot and ankle structures.",10.1177/23259671251320659
25,Acharya et al. (2024),Functional Outcomes of Anatomic Single Bundle Primary ACL Reconstruction with Peroneus Longus Tendon (Without a Peroneal Tenodesis) Versus Hamstring Autografts,"OBJECTIVES: There is a paucity of comparative studies on the Peroneus longus tendon versus conventional hamstring autograft use in primary single-bundle ACL reconstruction. To date, there are no studies that reported donor ankle functional outcomes when a peroneus longus graft is harvested without performing a tenodesis to peroneus brevis. METHODS: A single-center retrospective comparative study was undertaken to evaluate the functional outcomes (IKDC & Tegner-Lysholm scores) of primary isolated single bundle anatomic ACL Reconstruction with Peroneus Longus tendon (PL group) versus Hamstring (HT group) autografts. Further, an evaluation of donor ankle morbidity using the AOFAS score for the PL group and persistent anteromedial thigh pain and paraesthesia around the knee for the HT group was also performed. RESULTS: 30 patients were evaluated in each group. The mean graft diameter was 8.61 +/- 0.66mm (HT) & 9.6 +/- 0.84mm (PL) and the mean graft length was 7.39cm (HT) & 7.86cm (PL) respectively. The mean IKDC scores were 58.2 (Pre-op) & 89.52 (1 year) for the HT group and 61.8 (Pre-op) & 90.9 (1 year) for the PL group respectively. The mean Tegner-Lysholm scores were 69.83 (Pre-op) & 91.96 (1 year) for the HT group and 70.66 (Pre-op) & 92.36 (1 year) for the PL group respectively.10% of the HT group had residual anteromedial thigh pain & 6.7% had paraesthesia at one-year follow-up. In the PL group, the mean AOFAS score was 96.37 +/- 2.49 at the end of one year. Two cases (6.66%) reported paraesthesia around the harvested site. CONCLUSION: Peroneus longus tendon appears to be a better autograft choice than hamstrings for primary ACL reconstruction. Further, without a peroneal tenodesis, the functional outcomes of the donor ankle remained excellent.",10.22038/ABJS.2024.73473.3404
